No;Provinsi;Tahun;Wilayah;Satuan;Fisik;Psikis;Seksual;Eksploitasi;TPPO;Penelantaran;Lainnya;Jumlah Kasus (Kasus);Jumlah Korban (Orang)
103;Jawa Tengah;2023;KABUPATEN PURBALINGGA;Orang;8;1;3;0;0;0;0;12;12
104;Jawa Tengah;2023;KABUPATEN BANJARNEGARA;Orang;4;5;1;0;0;0;0;8;8
105;Jawa Tengah;2023;KABUPATEN KEBUMEN;Orang;23;8;11;1;0;2;2;39;40
106;Jawa Tengah;2023;KABUPATEN PURWOREJO;Orang;9;19;4;0;0;8;1;27;27
107;Jawa Tengah;2023;KABUPATEN WONOSOBO;Orang;22;58;9;0;0;21;0;66;66
108;Jawa Tengah;2023;KABUPATEN MAGELANG;Orang;22;71;26;0;0;29;0;77;77
109;Jawa Tengah;2023;KABUPATEN BOYOLALI;Orang;11;13;4;0;0;2;3;22;22
110;Jawa Tengah;2023;KABUPATEN KLATEN;Orang;4;5;0;0;0;4;1;10;10
111;Jawa Tengah;2023;KABUPATEN SUKOHARJO;Orang;19;3;4;0;0;3;5;29;32
112;Jawa Tengah;2023;KABUPATEN WONOGIRI;Orang;0;2;0;0;0;0;0;2;2
113;Jawa Tengah;2023;KABUPATEN KARANGANYAR;Orang;9;7;5;0;0;3;0;20;20
114;Jawa Tengah;2023;KABUPATEN SRAGEN;Orang;15;3;3;0;0;1;0;20;20
115;Jawa Tengah;2023;KABUPATEN GROBOGAN;Orang;8;4;4;3;0;0;0;15;17
116;Jawa Tengah;2023;KABUPATEN BLORA;Orang;2;0;2;0;0;1;0;4;5
117;Jawa Tengah;2023;KABUPATEN REMBANG;Orang;1;2;1;0;0;0;0;2;2
118;Jawa Tengah;2023;KABUPATEN PATI;Orang;13;2;2;0;0;2;0;16;17
119;Jawa Tengah;2023;KABUPATEN KUDUS;Orang;2;0;1;0;0;0;0;3;3
120;Jawa Tengah;2023;KABUPATEN JEPARA;Orang;14;9;5;0;0;3;0;20;20
121;Jawa Tengah;2023;KABUPATEN DEMAK;Orang;25;20;7;0;0;11;0;37;37
122;Jawa Tengah;2023;KABUPATEN SEMARANG;Orang;63;7;5;0;0;3;1;67;67
123;Jawa Tengah;2023;KABUPATEN TEMANGGUNG;Orang;2;2;1;0;0;0;1;4;4
124;Jawa Tengah;2023;KABUPATEN KENDAL;Orang;19;13;3;0;0;6;2;29;29
125;Jawa Tengah;2023;KABUPATEN BATANG;Orang;3;3;12;0;0;2;0;14;15
126;Jawa Tengah;2023;KABUPATEN PEKALONGAN;Orang;21;40;11;0;1;4;0;49;57
127;Jawa Tengah;2023;KABUPATEN PEMALANG;Orang;23;6;18;0;0;2;1;45;45
128;Jawa Tengah;2023;KABUPATEN TEGAL;Orang;8;15;7;0;0;0;1;17;17
129;Jawa Tengah;2023;KABUPATEN BREBES;Orang;10;3;7;0;0;2;4;24;24
130;Jawa Tengah;2023;KOTA MAGELANG;Orang;4;5;5;0;1;3;0;12;12
131;Jawa Tengah;2023;KOTA SURAKARTA;Orang;9;17;14;0;0;9;14;43;45
132;Jawa Tengah;2023;KOTA SALATIGA;Orang;13;7;4;0;0;1;2;23;23
133;Jawa Tengah;2023;KOTA SEMARANG;Orang;79;33;26;1;1;17;3;141;142
134;Jawa Tengah;2023;KOTA PEKALONGAN;Orang;10;13;4;1;0;7;0;17;17
135;Jawa Tengah;2023;KOTA TEGAL;Orang;8;7;5;0;0;1;0;20;20
136;Jawa Barat;2023;KABUPATEN BOGOR;Orang;25;28;7;0;0;2;4;40;40
137;Jawa Barat;2023;KABUPATEN SUKABUMI;Orang;22;10;21;1;26;1;25;88;88
138;Jawa Barat;2023;KABUPATEN CIANJUR;Orang;17;34;14;1;5;2;4;49;50
139;Jawa Barat;2023;KABUPATEN BANDUNG;Orang;15;17;10;0;1;4;2;38;39
140;Jawa Barat;2023;KABUPATEN GARUT;Orang;11;13;11;0;0;1;3;26;28
141;Jawa Barat;2023;KABUPATEN TASIKMALAYA;Orang;14;2;13;0;1;1;2;27;27
142;Jawa Barat;2023;KABUPATEN CIAMIS;Orang;0;1;2;1;0;0;0;2;2
143;Jawa Barat;2023;KABUPATEN KUNINGAN;Orang;14;8;5;0;0;1;2;28;30
144;Jawa Barat;2023;KABUPATEN CIREBON;Orang;10;10;9;1;1;1;3;21;21
145;Jawa Barat;2023;KABUPATEN MAJALENGKA;Orang;1;1;2;0;0;0;1;5;5
146;Jawa Barat;2023;KABUPATEN SUMEDANG;Orang;20;1;1;0;1;0;1;22;22
147;Jawa Barat;2023;KABUPATEN INDRAMAYU;Orang;5;1;3;3;0;0;2;13;14
148;Jawa Barat;2023;KABUPATEN SUBANG;Orang;18;3;7;0;2;0;0;29;30
149;Jawa Barat;2023;KABUPATEN PURWAKARTA;Orang;4;10;3;0;0;0;0;16;16
150;Jawa Barat;2023;KABUPATEN KARAWANG;Orang;30;17;12;1;0;6;12;59;63
151;Jawa Barat;2023;KABUPATEN BEKASI;Orang;73;67;28;7;3;4;83;121;124
152;Jawa Barat;2023;KABUPATEN BANDUNG BARAT;Orang;20;15;9;0;0;3;6;35;37
153;Jawa Barat;2023;KABUPATEN PANGANDARAN;Orang;2;0;0;0;0;7;2;7;11
154;Jawa Barat;2023;KOTA BOGOR;Orang;2;23;4;0;0;0;20;49;49
155;Jawa Barat;2023;KOTA SUKABUMI;Orang;8;10;1;2;1;0;7;29;29
156;Jawa Barat;2023;KOTA BANDUNG;Orang;96;180;50;7;1;71;23;234;237
157;Jawa Barat;2023;KOTA CIREBON;Orang;2;1;0;0;0;0;0;3;3
158;Jawa Barat;2023;KOTA BEKASI;Orang;6;6;1;1;0;2;2;7;7
159;Jawa Barat;2023;KOTA DEPOK;Orang;65;54;11;1;0;20;11;155;157
160;Jawa Barat;2023;KOTA CIMAHI;Orang;7;7;2;1;0;2;3;14;15
161;Jawa Barat;2023;KOTA TASIKMALAYA;Orang;1;4;2;0;0;0;2;8;8
162;Jawa Barat;2023;KOTA BANJAR;Orang;1;2;0;0;0;0;1;3;3
163;Jawa Timur;2023;KABUPATEN PACITAN;Orang;0;0;0;0;0;0;0;0;0
164;Jawa Timur;2023;KABUPATEN PONOROGO;Orang;2;3;0;0;0;0;0;5;5
